Instance,PartyOptimized,Strategy,MaxReps,TimeSec,Status,Models,ClingoReturnCode,RawOptValue
instance_079_m7n6k4_clustered_extra45.lp,0,default,4,0.024,OPTIMUM_FOUND,2,30,-4
instance_079_m7n6k4_clustered_extra45.lp,1,default,3,300.013,CLINGO_TIMEOUT_INTERRUPT,1+,11,-3
instance_080_m10n8k5_clustered_extra46.lp,0,default,5,0.054,OPTIMUM_FOUND,3,30,-5
instance_080_m10n8k5_clustered_extra46.lp,1,default,4,300.026,CLINGO_TIMEOUT_INTERRUPT,4+,11,-4
instance_080_m4n3k2_checkerboard_extra46.lp,0,default,2,0.012,OPTIMUM_FOUND,2,30,-2
instance_080_m4n3k2_checkerboard_extra46.lp,1,default,1,0.011,OPTIMUM_FOUND,1,30,-1
instance_081_m4n4k3_clustered_extra47.lp,0,default,3,0.016,OPTIMUM_FOUND,1,30,-3
instance_081_m4n4k3_clustered_extra47.lp,1,default,2,0.023,OPTIMUM_FOUND,2,30,-2
instance_082_m7n6k4_random_extra48.lp,0,default,3,300.029,CLINGO_TIMEOUT_INTERRUPT,2+,11,-3
instance_082_m7n6k4_random_extra48.lp,1,default,3,300.016,CLINGO_TIMEOUT_INTERRUPT,2+,11,-3
instance_082_m8n8k5_clustered_extra48.lp,0,default,5,0.036,OPTIMUM_FOUND,2,30,-5
instance_082_m8n8k5_clustered_extra48.lp,1,default,4,300.011,CLINGO_TIMEOUT_INTERRUPT,3+,11,-4
instance_083_m10n10k6_checkerboard_extra49.lp,0,default,6,0.214,OPTIMUM_FOUND,2,30,-6
instance_083_m10n10k6_checkerboard_extra49.lp,1,default,5,300.024,CLINGO_TIMEOUT_INTERRUPT,3+,11,-5
instance_083_m4n4k3_random_extra49.lp,0,default,2,0.283,OPTIMUM_FOUND,2,30,-2
